epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1346,2.37056,4.62306,2.00293,0.00282,0.06699,0.00549,0.00188,2.56843,5.24605,2.43365,3.636e-05,3.636e-05,3.636e-05
2,26.5847,2.05326,4.3506,1.8272,0.00418,0.05719,0.01035,0.00628,2.3566,5.04327,2.26093,8.10001e-05,8.10001e-05,8.10001e-05
3,38.961,1.79356,4.21727,1.60397,0.00433,0.07108,0.01134,0.00853,2.12566,4.92453,1.99832,0.00012474,0.00012474,0.00012474
4,51.3678,1.71939,3.77888,1.48226,0.00558,0.08088,0.01605,0.01169,2.03763,4.75944,1.76823,0.000167581,0.000167581,0.000167581
5,63.0673,1.77808,3.68243,1.52759,0.01172,0.13971,0.03699,0.02147,1.74957,4.52781,1.43508,0.000209521,0.000209521,0.000209521
6,74.4505,1.65506,3.25956,1.44538,0.01001,0.33215,0.06473,0.03805,1.53765,4.35191,1.30513,0.000250561,0.000250561,0.000250561
7,89.1763,1.54583,2.79321,1.37472,0.91271,0.04902,0.08482,0.04335,1.4382,4.13078,1.24376,0.000290702,0.000290702,0.000290702
8,104.12,1.52461,2.61685,1.391,0.89806,0.02941,0.0727,0.03386,1.5628,4.16454,1.31542,0.000329942,0.000329942,0.000329942
9,116.636,1.48322,2.37914,1.32354,1,0.04721,0.17809,0.09577,1.36275,3.84777,1.25074,0.000368283,0.000368283,0.000368283
10,127.896,1.43657,2.29449,1.30488,0.83773,0.10049,0.20497,0.11063,1.2716,3.65296,1.22417,0.000405724,0.000405724,0.000405724
11,139.158,1.35685,2.38357,1.29883,0.79865,0.08088,0.19422,0.10137,1.3131,3.58715,1.2503,0.000442265,0.000442265,0.000442265
12,150.416,1.33671,2.20863,1.30666,0.74513,0.09069,0.27417,0.15664,1.34269,3.55607,1.23434,0.000477906,0.000477906,0.000477906
13,161.709,1.31733,2.06651,1.25433,0.74952,0.11029,0.35363,0.18963,1.32343,3.41431,1.24981,0.000512647,0.000512647,0.000512647
14,172.667,1.32146,2.01428,1.20545,0.78495,0.11509,0.37241,0.21766,1.37563,3.23747,1.31715,0.000546488,0.000546488,0.000546488
15,183.812,1.34842,2.03647,1.25477,0.74939,0.11239,0.33014,0.16977,1.43568,3.16549,1.29366,0.000579429,0.000579429,0.000579429
