epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35446,2.28903,4.4019,1.83476,0.00186,0.07108,0.0126,0.00307,2.18235,4.53916,1.86984,8.181e-05,8.181e-05,8.181e-05
2,2.17216,1.96962,4.21364,1.62796,0.00256,0.07108,0.00819,0.0054,1.82545,4.44238,1.57412,0.000171,0.000171,0.000171
3,2.84162,1.8336,3.98541,1.43444,0.00386,0.07108,0.01756,0.01105,1.80737,4.38861,1.49585,0.000258391,0.000258391,0.000258391
4,3.54722,1.81533,3.37532,1.44219,0.0038,0.07108,0.0196,0.0116,1.61966,4.23512,1.3379,0.000343981,0.000343981,0.000343981
5,4.2503,1.73694,3.0501,1.39775,0.00744,0.19163,0.06553,0.04218,1.38538,3.78482,1.23123,0.000427772,0.000427772,0.000427772
6,5.00913,1.51455,2.53563,1.24301,0.87463,0.02941,0.0902,0.04867,1.37525,3.56778,1.24992,0.000509763,0.000509763,0.000509763
7,5.67822,1.52022,2.4527,1.27053,0.84426,0.0433,0.11209,0.06093,1.46217,3.43824,1.25571,0.000589954,0.000589954,0.000589954
8,6.39978,1.56054,2.31104,1.27005,0.79155,0.05832,0.14623,0.07808,1.45796,3.16968,1.18283,0.000668345,0.000668345,0.000668345
9,7.10264,1.47369,2.33785,1.2264,0.7596,0.14216,0.15341,0.07768,1.49011,2.94265,1.21658,0.000744936,0.000744936,0.000744936
10,7.78267,1.73272,2.93001,1.25596,0.42216,0.15152,0.18538,0.10094,1.54378,2.49519,1.24106,0.000819728,0.000819728,0.000819728
11,8.48555,1.35826,2.11482,1.14953,0.4173,0.21588,0.21547,0.10079,1.64285,2.48851,1.27516,0.000819009,0.000819009,0.000819009
12,9.18223,1.34848,2.05392,1.18233,0.54749,0.39841,0.24451,0.12298,1.49792,2.25882,1.20634,0.00081001,0.00081001,0.00081001
13,9.86034,1.42432,2.07191,1.22437,0.53874,0.46379,0.26355,0.14234,1.36676,2.18317,1.15881,0.000801011,0.000801011,0.000801011
14,10.5719,1.27665,1.86781,1.17139,0.64419,0.40521,0.35178,0.20301,1.3522,1.94978,1.17027,0.000792012,0.000792012,0.000792012
15,11.2822,1.31728,1.95583,1.17946,0.65575,0.40517,0.40848,0.24433,1.28659,1.89384,1.12539,0.000783013,0.000783013,0.000783013
16,11.9867,1.33401,1.81008,1.16581,0.74517,0.41492,0.39117,0.23391,1.29486,1.86011,1.14356,0.000774013,0.000774013,0.000774013
17,12.6577,1.28052,1.85936,1.15635,0.64337,0.43564,0.34943,0.19396,1.37381,2.08957,1.17524,0.000765014,0.000765014,0.000765014
18,13.4055,1.34642,1.78928,1.19838,0.51084,0.45461,0.32013,0.17817,1.37328,2.42427,1.20363,0.000756015,0.000756015,0.000756015
19,14.1231,1.27112,1.76083,1.13664,0.31848,0.48128,0.36293,0.2084,1.38637,2.12976,1.19105,0.000747016,0.000747016,0.000747016
20,14.7877,1.33957,1.68065,1.18911,0.79217,0.25764,0.38146,0.21948,1.40793,1.93357,1.19185,0.000738017,0.000738017,0.000738017
21,15.4976,1.30563,1.62837,1.11575,0.77777,0.27316,0.37596,0.22788,1.31912,1.86297,1.17201,0.000729018,0.000729018,0.000729018
22,16.2267,1.31318,1.80221,1.12487,0.54829,0.46969,0.36505,0.21996,1.24121,1.76357,1.15091,0.000720019,0.000720019,0.000720019
23,16.9113,1.27982,1.589,1.1649,0.38306,0.46181,0.38815,0.22897,1.29004,1.74976,1.16511,0.00071102,0.00071102,0.00071102
24,17.6153,1.13264,1.58773,1.07227,0.38023,0.49931,0.39913,0.23168,1.2832,1.78095,1.12288,0.000702021,0.000702021,0.000702021
25,18.3169,1.28417,1.65555,1.15514,0.59642,0.26312,0.37329,0.22006,1.31014,1.79323,1.1292,0.000693022,0.000693022,0.000693022
26,19.0649,1.27112,1.60764,1.13315,0.54967,0.27107,0.35976,0.21229,1.27103,2.04721,1.11132,0.000684022,0.000684022,0.000684022
27,19.7185,1.36274,1.65718,1.17371,0.38011,0.2649,0.32325,0.18992,1.2484,2.23555,1.10357,0.000675023,0.000675023,0.000675023
28,20.3781,1.2037,1.5294,1.10059,0.43584,0.27021,0.32114,0.18317,1.24325,2.19217,1.10041,0.000666024,0.000666024,0.000666024
29,21.0525,1.25657,1.65253,1.16216,0.42334,0.24679,0.32956,0.1922,1.22613,2.01582,1.11182,0.000657025,0.000657025,0.000657025
30,21.7575,1.19809,1.47933,1.10295,0.41083,0.29779,0.37099,0.22308,1.12419,1.74146,1.04601,0.000648026,0.000648026,0.000648026
31,22.4081,1.1162,1.58009,1.05661,0.40772,0.49786,0.38422,0.23712,1.09303,1.71627,1.0467,0.000639027,0.000639027,0.000639027
32,23.1745,1.14962,1.61027,1.07745,0.6521,0.27948,0.37762,0.23916,1.10235,1.66359,1.06343,0.000630028,0.000630028,0.000630028
33,23.8571,1.15726,1.49271,1.07167,0.61954,0.29602,0.37629,0.25429,1.10989,1.60419,1.06027,0.000621029,0.000621029,0.000621029
34,24.5115,1.30046,1.56235,1.11177,0.34856,0.38523,0.36445,0.24771,1.10932,1.68047,1.04083,0.00061203,0.00061203,0.00061203
35,25.2508,1.06834,1.43288,1.05712,0.34401,0.41867,0.35491,0.23403,1.22459,1.72706,1.06888,0.000603031,0.000603031,0.000603031
