epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.29264,1.88422,4.62987,1.72776,0.00177,0.2,0.05946,0.02128,1.97528,4.78616,1.94597,0.00013,0.00013,0.00013
2,5.19979,1.66668,3.94797,1.53523,0.00188,0.2,0.15957,0.07633,1.74163,4.44665,1.56666,0.000268218,0.000268218,0.000268218
3,6.99516,1.63844,3.24055,1.4964,0.00173,0.2,0.09963,0.05745,1.68378,4.23256,1.51232,0.000404588,0.000404588,0.000404588
4,8.77995,1.51986,2.7595,1.43059,0.00137,0.17143,0.04948,0.02274,1.89601,4.25084,1.76235,0.00053911,0.00053911,0.00053911
5,10.5353,1.57562,2.66982,1.38568,0.93198,0.02857,0.08017,0.04337,1.97806,4.01084,1.87544,0.000671784,0.000671784,0.000671784
6,12.3315,1.50498,2.57037,1.34438,0.86808,0.08571,0.32966,0.13957,1.83799,3.63903,1.66788,0.00080261,0.00080261,0.00080261
7,14.1287,1.55307,2.35849,1.34148,0.97233,0.05714,0.23459,0.08998,2.02118,3.64756,2.0105,0.000931588,0.000931588,0.000931588
8,15.9127,1.49469,2.47049,1.36962,0.62152,0.17143,0.33014,0.07774,2.04182,3.34494,1.90527,0.0009538,0.0009538,0.0009538
9,17.6268,1.53516,2.16033,1.36846,0.99794,0.11429,0.4309,0.1984,1.83416,2.72739,1.77602,0.0009472,0.0009472,0.0009472
10,19.318,1.54084,2.10311,1.34132,0.79311,0.45056,0.47476,0.21324,1.66531,2.27805,1.65063,0.0009406,0.0009406,0.0009406
11,21.0322,1.44518,2.21763,1.28562,0.6474,0.44,0.4745,0.21937,1.81363,2.24431,1.61361,0.000934,0.000934,0.000934
12,22.7208,1.37493,1.94591,1.27387,0.9396,0.34286,0.4664,0.20281,1.91578,2.29705,1.72973,0.0009274,0.0009274,0.0009274
13,24.408,1.41376,1.97937,1.33065,0.43436,0.42,0.38739,0.15668,2.10936,2.57209,1.85389,0.0009208,0.0009208,0.0009208
14,26.0931,1.35755,1.89325,1.2586,0.51642,0.40286,0.40027,0.14093,1.94384,2.14906,1.82328,0.0009142,0.0009142,0.0009142
15,27.8327,1.35697,1.8588,1.26581,0.69218,0.46,0.42969,0.17884,1.84065,2.19699,1.62579,0.0009076,0.0009076,0.0009076
16,29.5599,1.37027,1.74383,1.29927,0.65214,0.38286,0.41484,0.18613,1.71841,2.10022,1.57081,0.000901,0.000901,0.000901
17,31.2731,1.34245,1.6926,1.29154,0.86038,0.35429,0.4446,0.2154,1.8605,2.04385,1.73694,0.0008944,0.0008944,0.0008944
18,33.0975,1.31632,1.59566,1.25373,0.87227,0.41143,0.47028,0.24888,1.87648,1.9625,1.62793,0.0008878,0.0008878,0.0008878
19,34.8553,1.30502,1.67386,1.25034,0.70375,0.46,0.47166,0.22484,1.91247,1.88723,1.64289,0.0008812,0.0008812,0.0008812
20,36.6232,1.3529,1.64655,1.25431,0.83332,0.46,0.46508,0.28383,1.74001,1.54817,1.53801,0.0008746,0.0008746,0.0008746
21,38.3281,1.21942,1.47742,1.17966,0.75722,0.52,0.48784,0.25704,1.84959,1.77059,1.64361,0.000868,0.000868,0.000868
22,40.1299,1.28174,1.43025,1.1976,0.54126,0.52,0.48274,0.25485,1.84794,1.70052,1.66729,0.0008614,0.0008614,0.0008614
23,41.9086,1.22477,1.4225,1.23153,0.71349,0.52,0.45741,0.24605,1.82149,1.71676,1.53861,0.0008548,0.0008548,0.0008548
24,43.7171,1.23217,1.51095,1.17364,0.66025,0.48172,0.35997,0.20924,1.73729,1.78895,1.59885,0.0008482,0.0008482,0.0008482
25,45.4848,1.26565,1.38602,1.21852,0.46429,0.5,0.39385,0.17979,1.77658,1.89114,1.67722,0.0008416,0.0008416,0.0008416
26,47.1943,1.20459,1.32619,1.19198,0.77583,0.48,0.4849,0.26962,1.75728,1.72517,1.54209,0.000835,0.000835,0.000835
27,48.8824,1.24763,1.39507,1.18753,0.92339,0.25127,0.34087,0.19144,1.87708,1.76388,1.60657,0.0008284,0.0008284,0.0008284
28,50.6464,1.20455,1.3403,1.16434,0.79336,0.48,0.50986,0.26008,1.69607,1.51959,1.53719,0.0008218,0.0008218,0.0008218
29,52.4357,1.19441,1.24235,1.17024,0.63302,0.48,0.50309,0.25097,1.74668,1.58144,1.51342,0.0008152,0.0008152,0.0008152
30,54.3714,1.23581,1.22975,1.16122,0.89319,0.46,0.52235,0.2729,1.66587,1.41935,1.49134,0.0008086,0.0008086,0.0008086
31,56.1115,1.08644,1.10978,1.15958,0.83541,0.51079,0.53327,0.26546,1.72668,1.50487,1.5732,0.000802,0.000802,0.000802
32,57.8135,1.16137,1.19404,1.15018,0.73342,0.4859,0.48328,0.25106,1.69896,1.62411,1.52457,0.0007954,0.0007954,0.0007954
33,59.5218,1.09994,1.17178,1.11953,0.81973,0.46933,0.48375,0.25696,1.77952,1.62472,1.54268,0.0007888,0.0007888,0.0007888
34,61.2626,1.18493,1.12398,1.14212,0.8572,0.46,0.46739,0.25449,1.66093,1.72251,1.52062,0.0007822,0.0007822,0.0007822
35,62.9927,1.16607,1.12714,1.15618,0.80855,0.46,0.4765,0.20236,1.80221,1.79922,1.62905,0.0007756,0.0007756,0.0007756
36,64.699,1.13056,1.10289,1.15537,0.84312,0.49428,0.4873,0.23724,1.82365,1.67837,1.57741,0.000769,0.000769,0.000769
37,66.4191,1.11544,1.09739,1.11039,0.81074,0.52,0.48439,0.26013,1.76643,1.71962,1.51146,0.0007624,0.0007624,0.0007624
38,68.152,1.07324,1.09104,1.12794,0.49394,0.52823,0.33557,0.21142,1.64653,1.63388,1.46001,0.0007558,0.0007558,0.0007558
39,69.9185,1.10139,1.08888,1.11759,0.70501,0.5,0.45584,0.23804,1.64385,1.68414,1.42668,0.0007492,0.0007492,0.0007492
40,71.7477,1.07192,1.01467,1.12233,0.42574,0.56,0.33161,0.20779,1.72986,1.55644,1.51973,0.0007426,0.0007426,0.0007426
41,73.5248,1.03677,1.01322,1.08934,0.43829,0.52,0.33519,0.19704,1.87577,1.69672,1.72064,0.000736,0.000736,0.000736
