epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78666,1.49511,6.43555,2.78649,1.84949,0.00333,1,0.15135,0.0709,0.00302,0.90476,0.10709,0.03292,1.01592,3.91582,3.14379,1.98959,8e-05,8e-05,8e-05
2,4.9484,1.47339,6.48249,2.75947,1.86892,0.00333,1,0.23006,0.08989,0.0027,0.80952,0.13626,0.04676,1.34514,3.61314,3.27155,2.25095,0.000178218,0.000178218,0.000178218
3,6.26594,0.89273,3.05397,2.48318,1.42519,0.00333,1,0.53117,0.26872,0.00317,0.95238,0.51409,0.26298,1.30133,2.58889,3.13695,2.27906,0.000274456,0.000274456,0.000274456
4,7.41548,0.96073,2.70561,2.34263,1.46645,0.00317,0.95238,0.63018,0.32725,0.0027,0.80952,0.5495,0.23637,1.20482,3.02813,3.1569,2.18892,0.000368714,0.000368714,0.000368714
5,8.54322,0.78074,2.37915,2.09915,1.36002,0.00333,1,0.708,0.36295,0.00238,0.71429,0.49296,0.19266,1.13255,3.22974,3.14113,2.1929,0.000460992,0.000460992,0.000460992
6,9.62681,0.93686,2.47951,1.98877,1.4485,0.00333,1,0.87567,0.44987,0.00286,0.85714,0.67774,0.3046,1.20473,2.99424,3.14518,2.44814,0.00055129,0.00055129,0.00055129
7,10.7985,0.93818,2.28214,1.71686,1.41639,0.00286,0.85714,0.73421,0.33817,0.00317,0.95238,0.79908,0.29738,1.24593,3.42212,3.17739,2.34182,0.000639608,0.000639608,0.000639608
8,11.9107,0.99994,2.275,1.54182,1.48351,0.00333,1,0.63528,0.2592,0.0019,0.57143,0.23193,0.07182,1.51868,8.33697,3.28524,2.45094,0.000725946,0.000725946,0.000725946
9,13.1894,1.15742,2.45709,1.60573,1.59175,0.68794,0.61905,0.72416,0.38463,0.70575,0.61905,0.68672,0.33698,1.2433,5.08303,2.75248,2.9727,0.000810304,0.000810304,0.000810304
10,14.2984,1.08035,2.31708,1.51003,1.56849,0.76011,0.60415,0.69805,0.27989,0.64016,0.50892,0.58112,0.25559,1.28253,4.91849,2.79149,2.48949,0.000892682,0.000892682,0.000892682
11,15.371,0.98549,2.0602,1.31076,1.44169,0.69789,0.61905,0.62762,0.27749,0.69324,0.53867,0.58189,0.24235,1.42967,6.98571,2.73905,3.07616,0.00097308,0.00097308,0.00097308
12,16.494,1.1063,2.37863,1.40298,1.52089,0.63582,0.33333,0.37675,0.13337,0.43777,0.42857,0.35809,0.14916,1.87402,7.0651,3.09455,3.75619,0.0010515,0.0010515,0.0010515
13,17.5821,1.02123,2.11743,1.31109,1.43448,0.31464,0.47619,0.44138,0.15512,0.5153,0.42857,0.4373,0.1786,1.85944,5.70844,3.22503,3.75354,0.00112794,0.00112794,0.00112794
14,18.833,1.06335,2.13307,1.34402,1.52163,0.38141,0.66667,0.42419,0.16338,0.3868,0.66667,0.39535,0.1206,1.60131,4.70579,2.9679,3.22489,0.00120239,0.00120239,0.00120239
15,19.9743,1.13688,2.33084,1.40616,1.58337,0.43044,0.19048,0.26476,0.06829,0.18785,0.19048,0.18294,0.05262,1.44017,4.30041,3.19527,2.82159,0.00127487,0.00127487,0.00127487
16,21.0366,1.11023,2.16282,1.36553,1.54849,0.14281,0.28571,0.23576,0.07061,0.24236,0.14286,0.14331,0.02968,1.37956,6.30561,3.20252,2.84823,0.00134537,0.00134537,0.00134537
17,22.1092,1.1418,2.17946,1.36369,1.50584,0.6446,0.61905,0.71837,0.35673,0.65096,0.52381,0.57839,0.25327,1.40265,6.16495,2.64987,3.60278,0.00141389,0.00141389,0.00141389
18,23.1855,1.11348,2.21693,1.30098,1.51512,0.8352,0.72441,0.75191,0.44131,0.8352,0.72441,0.73588,0.3783,1.4003,3.83518,2.332,3.78256,0.00148043,0.00148043,0.00148043
19,24.2599,1.04042,2.23724,1.26511,1.49599,0.61887,0.66667,0.58565,0.3164,0.68724,0.71429,0.71744,0.32196,1.42777,2.99655,2.44484,3.72253,0.00154498,0.00154498,0.00154498
20,25.4602,0.98018,2.27507,1.1512,1.37793,0.7348,0.61905,0.64577,0.30968,0.85529,0.71429,0.79056,0.35147,1.79697,3.7963,2.69128,5.62335,0.00160756,0.00160756,0.00160756
21,26.5727,1.01734,2.30808,1.22849,1.47221,0.6163,0.7619,0.74072,0.28409,0.6163,0.7619,0.75143,0.33911,1.67494,3.73013,2.42374,4.2082,0.001604,0.001604,0.001604
22,27.6639,0.9839,2.11547,1.16412,1.4445,0.66599,0.71429,0.72736,0.3427,0.75319,0.66667,0.75158,0.30586,1.54984,3.85836,2.34071,3.32759,0.0015842,0.0015842,0.0015842
23,28.7197,1.09802,2.25598,1.21953,1.46577,0.41165,0.66667,0.459,0.18556,0.45162,0.71429,0.52568,0.17632,2.07237,2.92914,2.78862,3.61035,0.0015644,0.0015644,0.0015644
24,29.7932,1.05535,2.14635,1.17701,1.48794,0.40105,0.52381,0.44627,0.19608,0.36975,0.61905,0.37665,0.14913,1.63491,4.38894,2.6734,2.83485,0.0015446,0.0015446,0.0015446
25,30.8451,1.09925,2.12308,1.19242,1.46722,0.41611,0.66667,0.53859,0.25387,0.29992,0.71429,0.43077,0.17865,1.24796,4.52222,2.30244,2.41986,0.0015248,0.0015248,0.0015248
26,32.0549,0.93302,1.94557,1.07247,1.38178,0.60381,0.28571,0.45281,0.22597,0.37091,0.58992,0.48854,0.15692,1.32277,3.65372,2.24902,2.40189,0.001505,0.001505,0.001505
27,33.1709,0.92044,2.02681,1.03939,1.35731,0.45419,0.35736,0.42713,0.20106,0.65485,0.33333,0.44105,0.14569,1.74077,3.60059,2.36987,2.80863,0.0014852,0.0014852,0.0014852
28,34.2437,0.93212,1.96137,1.10974,1.38095,0.4213,0.47619,0.40733,0.24839,0.34021,0.38095,0.33991,0.20423,1.80639,5.18909,2.31817,2.98985,0.0014654,0.0014654,0.0014654
29,35.3893,0.99898,2.24643,1.04976,1.44991,0.34555,0.42857,0.34186,0.19376,0.30693,0.38095,0.30717,0.19456,2.00683,7.00592,2.36625,3.12841,0.0014456,0.0014456,0.0014456
30,36.5027,0.94543,2.02703,1.10519,1.38578,0.46426,0.57143,0.47877,0.25224,0.40196,0.47619,0.41469,0.2168,1.87879,4.16655,2.07852,3.00962,0.0014258,0.0014258,0.0014258
31,37.6486,0.9653,2.14588,1.05039,1.37918,0.75474,0.66667,0.73326,0.49905,0.80922,0.71429,0.81742,0.43649,1.36536,2.88638,1.46904,2.6281,0.001406,0.001406,0.001406
32,38.8083,1.0628,2.20015,1.14028,1.52206,0.6487,0.80952,0.77701,0.43079,0.58655,0.67586,0.77036,0.35175,1.36846,2.46112,2.59221,2.71471,0.0013862,0.0013862,0.0013862
33,39.9324,0.97574,2.16984,1.02842,1.44032,0.75504,0.7619,0.78292,0.44447,0.80223,0.80952,0.85023,0.41596,1.45052,2.10017,2.47758,3.07186,0.0013664,0.0013664,0.0013664
34,41.0103,1.01696,2.00675,0.97897,1.39829,0.70513,0.68376,0.66772,0.27244,0.61091,0.57143,0.58347,0.22127,1.97433,2.35276,3.00891,3.5207,0.0013466,0.0013466,0.0013466
35,42.0684,0.96788,2.06597,1.0738,1.42929,0.52682,0.57143,0.49467,0.16083,0.40569,0.52381,0.38558,0.15428,1.96129,2.67211,3.28393,3.22915,0.0013268,0.0013268,0.0013268
36,43.1744,0.96741,1.94916,0.95171,1.39781,0.79855,0.7619,0.7829,0.52758,0.91544,0.85714,0.92073,0.45512,1.26112,2.11333,1.43682,2.4956,0.001307,0.001307,0.001307
37,44.3682,0.99584,2.19252,1.01982,1.42898,0.78374,0.90476,0.85642,0.59218,0.86667,1,0.98045,0.55051,1.26241,1.97195,1.28641,2.42541,0.0012872,0.0012872,0.0012872
38,45.449,0.92521,1.90363,0.89719,1.38679,0.85341,0.71429,0.82075,0.52749,0.82932,0.69478,0.87516,0.47086,1.28696,1.98615,1.6625,2.34345,0.0012674,0.0012674,0.0012674
39,46.5357,0.95874,2.03947,1.01417,1.43173,0.55118,0.80952,0.7452,0.48761,0.54903,0.80952,0.69881,0.40647,1.38432,2.06874,1.97603,2.32363,0.0012476,0.0012476,0.0012476
40,47.6528,0.90868,1.84809,0.91046,1.34737,0.94987,0.90246,0.98135,0.60162,1,0.93264,0.95507,0.56285,1.21485,2.06462,1.39811,2.24313,0.0012278,0.0012278,0.0012278
41,48.7365,0.9457,1.95092,0.96879,1.39085,0.85784,0.95238,0.96719,0.47519,0.81966,0.90476,0.87562,0.50128,1.37114,2.08533,1.456,2.56253,0.001208,0.001208,0.001208
42,49.7976,0.92299,2.0644,0.88886,1.32722,0.90862,1,0.98283,0.51695,1,0.8458,0.94598,0.52655,1.41426,2.10144,1.26333,2.69944,0.0011882,0.0011882,0.0011882
43,50.9896,0.88383,1.8085,0.85431,1.3045,0.75555,0.7619,0.73797,0.4925,0.94572,0.95238,0.94126,0.557,1.2539,2.05196,1.28233,2.6618,0.0011684,0.0011684,0.0011684
44,52.1252,0.95245,2.05092,0.91711,1.4177,0.84902,0.80952,0.79256,0.58458,0.94595,0.95238,0.93888,0.52074,1.17393,2.71593,1.10323,2.42563,0.0011486,0.0011486,0.0011486
45,53.1985,0.883,1.99065,0.87841,1.38509,0.89837,0.90476,0.93493,0.61879,0.94111,0.90476,0.93655,0.45155,1.10482,3.38661,0.92577,2.2524,0.0011288,0.0011288,0.0011288
46,54.2845,0.93457,2.0351,0.9185,1.35588,0.99668,0.90476,0.9767,0.62839,0.88804,0.80952,0.85153,0.41902,1.10528,3.83404,0.99596,2.10054,0.001109,0.001109,0.001109
47,55.3195,0.88077,1.84538,0.9141,1.36751,0.94301,0.78863,0.92492,0.58894,0.88531,0.73579,0.87862,0.5039,1.12602,3.14774,1.30795,2.04492,0.0010892,0.0010892,0.0010892
48,56.3907,0.83075,1.93584,0.8275,1.30394,0.89065,0.77621,0.90022,0.67933,0.89912,0.84914,0.94128,0.58875,1.01709,2.41045,0.97647,2.23424,0.0010694,0.0010694,0.0010694
49,57.5608,0.81434,1.93996,0.77051,1.32051,0.86194,0.89229,0.90013,0.65868,0.90793,0.93958,0.97455,0.60529,1.11377,2.49135,0.93055,2.307,0.0010496,0.0010496,0.0010496
50,58.6966,0.85151,2.00504,0.77813,1.33986,0.78025,0.85714,0.88605,0.65247,0.87016,0.95238,0.97345,0.56855,1.07185,2.59514,1.03802,2.22602,0.0010298,0.0010298,0.0010298
51,59.7633,0.88346,2.04448,0.87445,1.32554,0.99249,0.66667,0.88053,0.65429,0.87475,0.80952,0.89738,0.51664,1.08633,2.93159,0.98903,2.06745,0.00101,0.00101,0.00101
52,60.8477,0.86531,2.04668,0.94147,1.38515,0.7172,0.84573,0.84633,0.52981,0.80022,0.80952,0.7731,0.44106,1.25268,2.53452,1.28564,2.03039,0.0009902,0.0009902,0.0009902
53,61.8927,0.87322,1.85671,0.81811,1.33783,0.71221,0.7619,0.82787,0.51947,0.75723,0.80952,0.86425,0.42368,1.32455,2.06642,1.46376,2.03139,0.0009704,0.0009704,0.0009704
54,63.0513,0.83051,2.03733,0.82087,1.2961,1,0.65484,0.88655,0.62694,0.7269,0.90476,0.90113,0.5629,1.11881,2.04325,1.12571,1.98618,0.0009506,0.0009506,0.0009506
55,64.1436,0.82589,1.82119,0.78354,1.32141,0.86208,0.89331,0.91706,0.57763,0.86208,0.89331,0.91706,0.50012,1.08241,2.10728,1.0594,2.12714,0.0009308,0.0009308,0.0009308
56,65.2347,0.79406,1.8713,0.76395,1.2493,0.95192,0.95238,0.9581,0.55994,0.95192,0.95238,0.9581,0.51292,1.13306,1.99629,1.07482,2.30012,0.000911,0.000911,0.000911
57,66.3253,0.78998,1.82476,0.76382,1.2716,0.90539,0.95238,0.94368,0.61249,0.95136,1,0.97364,0.55668,1.14715,1.93935,1.02788,2.26288,0.0008912,0.0008912,0.0008912
58,67.3727,0.80718,1.81159,0.72844,1.2689,0.95186,0.95238,0.97479,0.6426,1,0.99917,0.995,0.58178,1.16532,1.85445,0.90548,2.24198,0.0008714,0.0008714,0.0008714
59,68.4512,0.80795,1.79187,0.74911,1.28066,0.84935,0.90476,0.91986,0.63508,0.95428,1,0.99318,0.57854,1.18315,1.81968,0.79858,2.32851,0.0008516,0.0008516,0.0008516
60,69.6478,0.78203,1.65697,0.6736,1.23095,0.89927,0.90476,0.95214,0.70324,0.99446,1,0.995,0.60484,0.98935,1.81003,0.90645,1.98566,0.0008318,0.0008318,0.0008318
61,70.6868,0.84087,1.8768,0.74889,1.27721,0.86907,0.94843,0.95062,0.69896,0.99461,1,0.995,0.60953,0.97669,1.8156,0.88704,1.9256,0.000812,0.000812,0.000812
62,71.7566,0.88077,1.72539,0.78574,1.33146,0.89896,0.90476,0.93736,0.6922,0.99669,1,0.995,0.60242,1.02451,1.86854,0.88327,2.03916,0.0007922,0.0007922,0.0007922
63,72.8611,0.79324,1.72944,0.74914,1.29784,0.94489,0.95238,0.94807,0.70518,0.99231,1,0.995,0.63439,1.04609,1.83741,0.82932,2.05775,0.0007724,0.0007724,0.0007724
64,73.9449,0.76708,1.75288,0.70014,1.241,1,0.89333,0.98622,0.72218,1,0.89333,0.98622,0.64603,1.0572,1.82149,0.83158,2.09331,0.0007526,0.0007526,0.0007526
65,74.9987,0.72071,1.68183,0.68285,1.17915,0.90648,0.92369,0.97348,0.66756,0.90648,0.92369,0.97348,0.62557,1.14604,1.82285,0.92049,2.18255,0.0007328,0.0007328,0.0007328
66,76.1481,0.74628,1.7662,0.72125,1.25284,0.89608,0.95238,0.97439,0.6921,0.89608,0.95238,0.97439,0.64185,1.11713,1.8509,0.85277,2.12738,0.000713,0.000713,0.000713
67,77.206,0.74991,1.5995,0.69654,1.2208,0.9506,0.9167,0.97972,0.70182,0.90282,0.88535,0.9655,0.63343,1.10002,1.84548,0.82573,2.12115,0.0006932,0.0006932,0.0006932
68,78.2834,0.7801,1.85733,0.75954,1.26549,1,0.82983,0.9411,0.67593,0.8961,0.90476,0.9189,0.57349,1.07885,1.8811,0.75163,2.08691,0.0006734,0.0006734,0.0006734
69,79.3231,0.6898,1.69464,0.65787,1.2265,0.86267,0.90476,0.89155,0.66314,0.89613,0.90476,0.91569,0.56404,1.03134,1.89669,0.75963,2.08724,0.0006536,0.0006536,0.0006536
70,80.3986,0.77371,1.70019,0.69883,1.26549,0.93547,0.7619,0.84038,0.6686,0.83809,0.95238,0.91609,0.57951,1.01501,1.89957,0.74025,2.03846,0.0006338,0.0006338,0.0006338
