epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2315,1.27489,1.77465,1.26848,0.87012,0.45794,0.47133,0.27178,1.78465,2.32865,1.58025,0.00013,0.00013,0.00013
2,108.942,1.20169,1.65981,1.20954,0.82711,0.40429,0.4924,0.26348,1.77876,2.3989,1.56724,0.00024327,0.00024327,0.00024327
3,162.97,1.16492,1.58835,1.18163,0.8619,0.45836,0.50072,0.27392,1.74186,2.46493,1.52368,0.00032882,0.00032882,0.00032882
4,214.683,1.11217,1.56457,1.14669,0.7762,0.46,0.47654,0.2758,1.67942,2.31817,1.48936,0.00038665,0.00038665,0.00038665
5,268.243,1.10145,1.49644,1.16957,0.83341,0.45337,0.5109,0.27952,1.62707,2.22991,1.4564,0.00041676,0.00041676,0.00041676
6,322.197,1.06948,1.428,1.14555,0.72358,0.46375,0.34136,0.19548,1.67499,2.50708,1.58106,0.00041915,0.00041915,0.00041915
7,375.016,1.06873,1.35267,1.13312,0.29422,0.45143,0.44863,0.25196,1.72572,2.52308,1.55794,0.00039382,0.00039382,0.00039382
8,427.138,1.04597,1.41866,1.13935,0.59615,0.44,0.47246,0.30008,1.63833,2.26962,1.47999,0.000307,0.000307,0.000307
9,480.919,1.04132,1.29806,1.11618,0.6263,0.48,0.47447,0.30133,1.56513,2.14514,1.41052,0.000208,0.000208,0.000208
10,536.555,0.96476,1.26646,1.10892,0.61733,0.48,0.48354,0.29201,1.64868,2.12155,1.44479,0.000109,0.000109,0.000109
